market,PreCOVID_SalePrice_AnnGrowth,COVID_SalePrice_AnnGrowth,PostCOVID_SalePrice_AnnGrowth,COVID_Deviation_Flag,Supply_Early_Growth,Supply_Late_Growth,Supply_Shift_Flag
Tulsa - OK,0.0370795387341909,0.14644414078750057,-0.0016652152484211147,True,0.009194495072308184,0.01727229679868114,True
Vallejo-Fairfield - CA,0.10646890013714083,0.13082783965050826,-0.04443699720724614,False,0.004443972564279086,0.018986584005600937,True
Ventura - CA,0.0663576500863261,0.15909283891439618,-0.00779004568121755,True,0.012653915389627013,0.012809224550292653,False
Visalia - CA,0.06109983825925491,0.1351625669977068,-0.034063001306396834,True,0.0,0.03971225116545507,False
Washington - DC,0.031013280552383726,0.08784473281625771,-0.049100733836078936,True,0.02380679854769685,0.02670180192465943,False
Wichita - KS,0.045762734379927617,0.09600719519564005,-0.018904246412451142,True,0.0033187687729077098,0.018232136016818945,True
Winston-Salem - NC,0.06561150897047363,0.16623186041023352,0.00800430653194395,True,0.006119274218785442,0.025710844751307027,True
Worcester - MA,0.05707534080904453,0.12352759325773977,-0.022893383874554085,True,0.01614324274066825,0.02584999088220097,True
York - PA,0.048626315416253396,0.14470049749024572,-0.02133304491643573,True,0.014105329056026017,0.05457749225507191,True
Youngstown - OH,0.029979637042529816,0.09960115994975394,-0.017877822239450336,True,0.00022072619185053988,-0.002452503541357842,True
